schemaname,tablename,tableowner
new schema,renamed,postgres
public,YASSINTEST,postgres
public,auth_authenticator,postgres
public,auth_group,postgres
public,auth_group_permissions,postgres
public,auth_permission,postgres
public,auth_user,postgres
public,customer,postgres
public,django_content_type,postgres
public,django_content_type_copy,postgres
public,django_migrations,postgres
public,django_session,postgres
public,django_site,postgres
public,explore_exploresavedquery,postgres
public,explore_exploresavedqueryproject,postgres
public,feedback_feedback,postgres
public,flags_audit_log,postgres
public,flags_webhooksigningsecret,postgres
public,hybridcloud_apikeyreplica,postgres
public,hybridcloud_apitokenreplica,postgres
public,hybridcloud_controlcacheversion,postgres
public,hybridcloud_externalactorreplica,postgres
public,hybridcloud_organizationslugreservationreplica,postgres
public,hybridcloud_orgauthtokenreplica,postgres
public,hybridcloud_regioncacheversion,postgres
public,hybridcloud_webhookpayload,postgres
public,nodestore_node,postgres
public,p^roduct,postgres
public,pgbench_accounts,postgres
public,pgbench_branches,postgres
public,pgbench_history,postgres
public,pgbench_tellers,postgres
public,replays_replayrecordingsegment,postgres
public,schema_change_log,postgres
public,sentry_activity,postgres
public,sentry_actor,postgres
public,sentry_alertrule,postgres
public,sentry_alertruleactivity,postgres
public,sentry_alertruleprojects,postgres
public,sentry_alertruletrigger,postgres
public,sentry_alertruletriggeraction,postgres
public,sentry_apiapplication,postgres
public,sentry_apiauthorization,postgres
public,sentry_apigrant,postgres
public,sentry_apikey,postgres
public,sentry_apitoken,postgres
public,sentry_artifactbundle,postgres
public,sentry_artifactbundleindex,postgres
public,sentry_assistant_activity,postgres
public,sentry_auditlogentry,postgres
public,sentry_authidentity,postgres
public,sentry_authidentityreplica,postgres
public,sentry_authprovider,postgres
public,sentry_authproviderreplica,postgres
public,sentry_broadcast,postgres
public,sentry_broadcastseen,postgres
public,sentry_commit,postgres
public,sentry_commitauthor,postgres
public,sentry_commitfilechange,postgres
public,sentry_controlfile,postgres
public,sentry_controlfileblob,postgres
public,sentry_controlfileblobindex,postgres
public,sentry_controlfileblobowner,postgres
public,sentry_controlimportchunk,postgres
public,sentry_controlimportchunkreplica,postgres
public,sentry_controloption,postgres
public,sentry_controloutbox,postgres
public,sentry_controlrelocationtransfer,postgres
public,sentry_controltombstone,postgres
public,sentry_customdynamicsamplingrule,postgres
public,sentry_customdynamicsamplingruleproject,postgres
public,sentry_dashboard,postgres
public,sentry_dashboardfavoriteuser,postgres
public,sentry_dashboardpermissions,postgres
public,sentry_dashboardpermissionsteam,postgres
public,sentry_dashboardproject,postgres
public,sentry_dashboardtombstone,postgres
public,sentry_dashboardwidget,postgres
public,sentry_dashboardwidgetquery,postgres
public,sentry_dashboardwidgetqueryondemand,postgres
