table_schema,table_name,tableowner,tablespace,hasindexes,hasrules,hastriggers
new schema,renamed,postgres,,True,False,False
public,YASSINTEST,postgres,,True,False,False
public,auth_authenticator,postgres,,True,False,True
public,auth_group,postgres,,True,False,True
public,auth_group_permissions,postgres,,True,False,True
public,auth_permission,postgres,,True,False,True
public,auth_user,postgres,,True,False,True
public,customer,postgres,,True,False,False
public,customerinfo,postgres,,True,False,False
public,django_content_type,postgres,,True,False,True
public,django_content_type_copy,postgres,,True,False,False
public,django_migrations,postgres,,True,False,False
public,django_session,postgres,,True,False,False
public,django_site,postgres,,True,False,False
public,dns records,postgres,,True,False,False
public,dns_records,postgres,,True,False,False
public,employees,postgres,,True,False,True
public,explore_exploresavedquery,postgres,,True,False,True
public,explore_exploresavedqueryproject,postgres,,True,False,True
public,feedback_feedback,postgres,,True,False,True
public,flags_audit_log,postgres,,True,False,False
public,flags_webhooksigningsecret,postgres,,True,False,True
public,hybridcloud_apikeyreplica,postgres,,True,False,True
public,hybridcloud_apitokenreplica,postgres,,True,False,True
public,hybridcloud_controlcacheversion,postgres,,True,False,False
public,hybridcloud_externalactorreplica,postgres,,True,False,True
public,hybridcloud_organizationslugreservationreplica,postgres,,True,False,False
public,hybridcloud_orgauthtokenreplica,postgres,,True,False,True
public,hybridcloud_regioncacheversion,postgres,,True,False,False
public,hybridcloud_webhookpayload,postgres,,True,False,False
public,nodestore_node,postgres,,True,False,False
public,p^roduct,postgres,,True,False,False
public,pgbench_accounts,postgres,,False,False,False
public,pgbench_branches,postgres,,False,False,False
public,pgbench_history,postgres,,False,False,False
public,pgbench_tellers,postgres,,False,False,False
public,replays_replayrecordingsegment,postgres,,True,False,False
public,schema_change_log,postgres,,True,False,False
public,sentry_activity,postgres,,True,False,True
public,sentry_actor,postgres,,True,False,True
public,sentry_alertrule,postgres,,True,False,True
public,sentry_alertruleactivity,postgres,,True,False,True
public,sentry_alertruleprojects,postgres,,True,False,True
public,sentry_alertruletrigger,postgres,,True,False,True
public,sentry_alertruletriggeraction,postgres,,True,False,True
public,sentry_apiapplication,postgres,,True,False,True
public,sentry_apiauthorization,postgres,,True,False,True
public,sentry_apigrant,postgres,,True,False,True
public,sentry_apikey,postgres,,True,False,True
public,sentry_apitoken,postgres,,True,False,True
public,sentry_artifactbundle,postgres,,True,False,True
public,sentry_artifactbundleindex,postgres,,True,False,True
public,sentry_assistant_activity,postgres,,True,False,True
public,sentry_auditlogentry,postgres,,True,False,True
public,sentry_authidentity,postgres,,True,False,True
public,sentry_authidentityreplica,postgres,,True,False,False
public,sentry_authprovider,postgres,,True,False,True
public,sentry_authproviderreplica,postgres,,True,False,True
public,sentry_broadcast,postgres,,True,False,True
public,sentry_broadcastseen,postgres,,True,False,True
public,sentry_commit,postgres,,True,False,True
public,sentry_commitauthor,postgres,,True,False,True
public,sentry_commitfilechange,postgres,,True,False,True
public,sentry_controlfile,postgres,,True,False,True
public,sentry_controlfileblob,postgres,,True,False,True
public,sentry_controlfileblobindex,postgres,,True,False,True
public,sentry_controlfileblobowner,postgres,,True,False,True
public,sentry_controlimportchunk,postgres,,True,False,False
public,sentry_controlimportchunkreplica,postgres,,True,False,False
public,sentry_controloption,postgres,,True,False,False
public,sentry_controloutbox,postgres,,True,False,False
public,sentry_controlrelocationtransfer,postgres,,True,False,False
public,sentry_controltombstone,postgres,,True,False,False
public,sentry_customdynamicsamplingrule,postgres,,True,False,True
public,sentry_customdynamicsamplingruleproject,postgres,,True,False,True
public,sentry_dashboard,postgres,,True,False,True
public,sentry_dashboardfavoriteuser,postgres,,True,False,True
public,sentry_dashboardpermissions,postgres,,True,False,True
public,sentry_dashboardpermissionsteam,postgres,,True,False,True
public,sentry_dashboardproject,postgres,,True,False,True
public,sentry_dashboardtombstone,postgres,,True,False,True
public,sentry_dashboardwidget,postgres,,True,False,True
public,sentry_dashboardwidgetquery,postgres,,True,False,True
public,sentry_dashboardwidgetqueryondemand,postgres,,True,False,True
public,sentry_datasecrecywaiver,postgres,,True,False,True
public,sentry_debugidartifactbundle,postgres,,True,False,True
public,sentry_deletedorganization,postgres,,True,False,False
public,sentry_deletedproject,postgres,,True,False,False
public,sentry_deletedteam,postgres,,True,False,False
public,sentry_deploy,postgres,,True,False,True
public,sentry_discoversavedquery,postgres,,True,False,True
public,sentry_discoversavedqueryproject,postgres,,True,False,True
public,sentry_distribution,postgres,,True,False,True
public,sentry_docintegration,postgres,,True,False,True
public,sentry_docintegrationavatar,postgres,,True,False,True
public,sentry_email,postgres,,True,False,False
public,sentry_environment,postgres,,True,False,True
public,sentry_environmentproject,postgres,,True,False,True
public,sentry_environmentrelease,postgres,,True,False,False
public,sentry_eventattachment,postgres,,True,False,False
public,sentry_exporteddata,postgres,,True,False,True
public,sentry_exporteddatablob,postgres,,True,False,True
public,sentry_externalactor,postgres,,True,False,True
public,sentry_externalissue,postgres,,True,False,False
public,sentry_featureadoption,postgres,,True,False,True
public,sentry_file,postgres,,True,False,True
public,sentry_fileblob,postgres,,True,False,True
public,sentry_fileblobindex,postgres,,True,False,True
public,sentry_fileblobowner,postgres,,True,False,True
public,sentry_groupasignee,postgres,,True,False,True
public,sentry_groupbookmark,postgres,,True,False,True
public,sentry_groupcommitresolution,postgres,,True,False,False
public,sentry_groupedmessage,postgres,,True,False,True
public,sentry_groupemailthread,postgres,,True,False,True
public,sentry_groupenvironment,postgres,,True,False,False
public,sentry_grouphash,postgres,,True,False,True
public,sentry_grouphashmetadata,postgres,,True,False,True
public,sentry_grouphistory,postgres,,True,False,True
public,sentry_groupinbox,postgres,,True,False,False
public,sentry_grouplink,postgres,,True,False,False
public,sentry_groupmeta,postgres,,True,False,True
public,sentry_groupowner,postgres,,True,False,True
public,sentry_groupredirect,postgres,,True,False,False
public,sentry_grouprelease,postgres,,True,False,False
public,sentry_groupresolution,postgres,,True,False,True
public,sentry_grouprulestatus,postgres,,True,False,True
public,sentry_groupsearchview,postgres,,True,False,True
public,sentry_groupsearchviewlastvisited,postgres,,True,False,True
public,sentry_groupsearchviewproject,postgres,,True,False,True
public,sentry_groupsearchviewstarred,postgres,,True,False,True
public,sentry_groupseen,postgres,,True,False,True
public,sentry_groupshare,postgres,,True,False,True
public,sentry_groupsnooze,postgres,,True,False,True
public,sentry_groupsubscription,postgres,,True,False,True
public,sentry_grouptombstone,postgres,,True,False,True
public,sentry_identity,postgres,,True,False,True
public,sentry_identityprovider,postgres,,True,False,True
public,sentry_incident,postgres,,True,False,True
public,sentry_incidentactivity,postgres,,True,False,True
public,sentry_incidentproject,postgres,,True,False,True
public,sentry_incidentsnapshot,postgres,,True,False,True
public,sentry_incidenttrigger,postgres,,True,False,True
public,sentry_integration,postgres,,True,False,True
public,sentry_integrationexternalproject,postgres,,True,False,False
public,sentry_integrationfeature,postgres,,True,False,False
public,sentry_latestrelease,postgres,,True,False,False
public,sentry_lostpasswordhash,postgres,,True,False,True
public,sentry_monitor,postgres,,True,False,True
public,sentry_monitorcheckin,postgres,,True,False,True
public,sentry_monitorenvbrokendetection,postgres,,True,False,True
public,sentry_monitorenvironment,postgres,,True,False,True
public,sentry_monitorincident,postgres,,True,False,True
public,sentry_monitorlocation,postgres,,True,False,True
public,sentry_neglectedrule,postgres,,True,False,True
public,sentry_notificationaction,postgres,,True,False,True
public,sentry_notificationactionproject,postgres,,True,False,True
public,sentry_notificationmessage,postgres,,True,False,True
public,sentry_notificationsettingoption,postgres,,True,False,True
public,sentry_notificationsettingprovider,postgres,,True,False,True
public,sentry_option,postgres,,True,False,False
public,sentry_organization,postgres,,True,False,True
public,sentry_organizationaccessrequest,postgres,,True,False,True
public,sentry_organizationavatar,postgres,,True,False,True
public,sentry_organizationintegration,postgres,,True,False,True
public,sentry_organizationmapping,postgres,,True,False,False
public,sentry_organizationmember,postgres,,True,False,True
public,sentry_organizationmember_teams,postgres,,True,False,True
public,sentry_organizationmember_teamsreplica,postgres,,True,False,False
public,sentry_organizationmemberinvite,postgres,,True,False,True
public,sentry_organizationmembermapping,postgres,,True,False,True
public,sentry_organizationonboardingtask,postgres,,True,False,True
public,sentry_organizationoptions,postgres,,True,False,True
public,sentry_organizationslugreservation,postgres,,True,False,False
public,sentry_orgauthtoken,postgres,,True,False,True
public,sentry_pagerdutyservice,postgres,,True,False,False
public,sentry_pendingincidentsnapshot,postgres,,True,False,True
public,sentry_performanceteamkeytransaction,postgres,,True,False,True
public,sentry_perfstringindexer,postgres,,True,False,False
public,sentry_platformexternalissue,postgres,,True,False,False
public,sentry_proguardartifactrelease,postgres,,True,False,True
public,sentry_project,postgres,,True,False,True
public,sentry_projectartifactbundle,postgres,,True,False,True
public,sentry_projectbookmark,postgres,,True,False,False
public,sentry_projectcodeowners,postgres,,True,False,True
public,sentry_projectcounter,postgres,,True,False,True
public,sentry_projectdsymfile,postgres,,True,False,True
public,sentry_projectintegration,postgres,,True,False,True
public,sentry_projectkey,postgres,,True,False,True
public,sentry_projectoptions,postgres,,True,False,True
public,sentry_projectownership,postgres,,True,False,True
public,sentry_projectplatform,postgres,,True,False,False
public,sentry_projectredirect,postgres,,True,False,True
public,sentry_projectteam,postgres,,True,False,True
public,sentry_projecttemplate,postgres,,True,False,True
public,sentry_projecttemplateoption,postgres,,True,False,True
public,sentry_projecttransactionthreshold,postgres,,True,False,True
public,sentry_projecttransactionthresholdoverride,postgres,,True,False,True
public,sentry_promptsactivity,postgres,,True,False,False
public,sentry_pull_request,postgres,,True,False,True
public,sentry_pullrequest_comment,postgres,,True,False,True
public,sentry_pullrequest_commit,postgres,,True,False,True
public,sentry_querysubscription,postgres,,True,False,True
public,sentry_recentsearch,postgres,,True,False,True
public,sentry_regionimportchunk,postgres,,True,False,False
public,sentry_regionoutbox,postgres,,True,False,False
public,sentry_regionrelocationtransfer,postgres,,True,False,False
public,sentry_regionscheduleddeletion,postgres,,True,False,False
public,sentry_regiontombstone,postgres,,True,False,False
public,sentry_regressiongroup,postgres,,True,False,False
public,sentry_relay,postgres,,True,False,False
public,sentry_relayusage,postgres,,True,False,False
public,sentry_release,postgres,,True,False,True
public,sentry_release_project,postgres,,True,False,True
public,sentry_releaseactivity,postgres,,True,False,True
public,sentry_releaseartifactbundle,postgres,,True,False,True
public,sentry_releasecommit,postgres,,True,False,True
public,sentry_releasefile,postgres,,True,False,True
public,sentry_releaseheadcommit,postgres,,True,False,True
public,sentry_releaseprojectenvironment,postgres,,True,False,True
public,sentry_releasethreshold,postgres,,True,False,True
public,sentry_relocation,postgres,,True,False,True
public,sentry_relocationfile,postgres,,True,False,True
public,sentry_relocationvalidation,postgres,,True,False,True
public,sentry_relocationvalidationattempt,postgres,,True,False,True
public,sentry_repository,postgres,,True,False,True
public,sentry_repositoryprojectpathconfig,postgres,,True,False,True
public,sentry_rollbackorganization,postgres,,True,False,True
public,sentry_rollbackuser,postgres,,True,False,True
public,sentry_rule,postgres,,True,False,True
public,sentry_ruleactivity,postgres,,True,False,True
public,sentry_rulefirehistory,postgres,,True,False,True
public,sentry_rulesnooze,postgres,,True,False,True
public,sentry_savedsearch,postgres,,True,False,True
public,sentry_scheduleddeletion,postgres,,True,False,False
public,sentry_scheduledjob,postgres,,True,False,False
public,sentry_sentryapp,postgres,,True,False,True
public,sentry_sentryappavatar,postgres,,True,False,True
public,sentry_sentryappcomponent,postgres,,True,False,True
public,sentry_sentryappinstallation,postgres,,True,False,True
public,sentry_sentryappinstallationforprovider,postgres,,True,False,True
public,sentry_sentryappinstallationtoken,postgres,,True,False,True
public,sentry_sentryshot,postgres,,True,False,False
public,sentry_servicehook,postgres,,True,False,True
public,sentry_servicehookproject,postgres,,True,False,True
public,sentry_snubaquery,postgres,,True,False,True
public,sentry_snubaqueryeventtype,postgres,,True,False,True
public,sentry_stringindexer,postgres,,True,False,False
public,sentry_team,postgres,,True,False,True
public,sentry_teamreplica,postgres,,True,False,False
public,sentry_timeseriessnapshot,postgres,,True,False,True
public,sentry_useravatar,postgres,,True,False,True
public,sentry_useremail,postgres,,True,False,True
public,sentry_userip,postgres,,True,False,True
public,sentry_useroption,postgres,,True,False,True
public,sentry_userpermission,postgres,,True,False,True
public,sentry_userreport,postgres,,True,False,False
public,sentry_userrole,postgres,,True,False,True
public,sentry_userrole_users,postgres,,True,False,True
public,social_auth_usersocialauth,postgres,,True,False,True
public,tempest_tempestcredentials,postgres,,True,False,True
public,uptime_projectuptimesubscription,postgres,,True,False,True
public,uptime_uptimesubscription,postgres,,True,False,True
public,uptime_uptimesubscriptionregion,postgres,,True,False,True
public,workflow_engine_action,postgres,,True,False,True
public,workflow_engine_actionalertruletriggeraction,postgres,,True,False,True
public,workflow_engine_actiongroupstatus,postgres,,True,False,True
public,workflow_engine_alertruledetector,postgres,,True,False,True
public,workflow_engine_alertruleworkflow,postgres,,True,False,True
public,workflow_engine_datacondition,postgres,,True,False,True
public,workflow_engine_dataconditiongroup,postgres,,True,False,True
public,workflow_engine_dataconditiongroupaction,postgres,,True,False,True
public,workflow_engine_datasource,postgres,,True,False,True
public,workflow_engine_datasourcedetector,postgres,,True,False,True
public,workflow_engine_detector,postgres,,True,False,True
public,workflow_engine_detectorstate,postgres,,True,False,True
public,workflow_engine_detectorworkflow,postgres,,True,False,True
public,workflow_engine_workflow,postgres,,True,False,True
public,workflow_engine_workflowaction,postgres,,True,False,True
public,workflow_engine_workflowdataconditiongroup,postgres,,True,False,True
