table_schema,table_name
new schema,renamed
public,YASSINTEST
public,auth_authenticator
public,auth_group
public,auth_group_permissions
public,auth_permission
public,auth_user
public,customer
public,customerinfo
public,django_content_type
public,django_content_type_copy
public,django_migrations
public,django_session
public,django_site
public,explore_exploresavedquery
public,explore_exploresavedqueryproject
public,feedback_feedback
public,flags_audit_log
public,flags_webhooksigningsecret
public,hybridcloud_apikeyreplica
public,hybridcloud_apitokenreplica
public,hybridcloud_controlcacheversion
public,hybridcloud_externalactorreplica
public,hybridcloud_organizationslugreservationreplica
public,hybridcloud_orgauthtokenreplica
public,hybridcloud_regioncacheversion
public,hybridcloud_webhookpayload
public,nodestore_node
public,p^roduct
public,pgbench_accounts
public,pgbench_branches
public,pgbench_history
public,pgbench_tellers
public,redproducts
public,replays_replayrecordingsegment
public,schema_change_log
public,sentry_activity
public,sentry_actor
public,sentry_alertrule
public,sentry_alertruleactivity
public,sentry_alertruleprojects
public,sentry_alertruletrigger
public,sentry_alertruletriggeraction
public,sentry_apiapplication
public,sentry_apiauthorization
public,sentry_apigrant
public,sentry_apikey
public,sentry_apitoken
public,sentry_artifactbundle
public,sentry_artifactbundleindex
public,sentry_assistant_activity
public,sentry_auditlogentry
public,sentry_authidentity
public,sentry_authidentityreplica
public,sentry_authprovider
public,sentry_authproviderreplica
public,sentry_broadcast
public,sentry_broadcastseen
public,sentry_commit
public,sentry_commitauthor
public,sentry_commitfilechange
public,sentry_controlfile
public,sentry_controlfileblob
public,sentry_controlfileblobindex
public,sentry_controlfileblobowner
public,sentry_controlimportchunk
public,sentry_controlimportchunkreplica
public,sentry_controloption
public,sentry_controloutbox
public,sentry_controlrelocationtransfer
public,sentry_controltombstone
public,sentry_customdynamicsamplingrule
public,sentry_customdynamicsamplingruleproject
public,sentry_dashboard
public,sentry_dashboardfavoriteuser
public,sentry_dashboardpermissions
public,sentry_dashboardpermissionsteam
public,sentry_dashboardproject
public,sentry_dashboardtombstone
public,sentry_dashboardwidget
public,sentry_dashboardwidgetquery
public,sentry_dashboardwidgetqueryondemand
public,sentry_datasecrecywaiver
public,sentry_debugidartifactbundle
public,sentry_deletedorganization
public,sentry_deletedproject
public,sentry_deletedteam
public,sentry_deploy
public,sentry_discoversavedquery
public,sentry_discoversavedqueryproject
public,sentry_distribution
public,sentry_docintegration
public,sentry_docintegrationavatar
public,sentry_email
public,sentry_environment
public,sentry_environmentproject
public,sentry_environmentrelease
public,sentry_eventattachment
public,sentry_exporteddata
public,sentry_exporteddatablob
public,sentry_externalactor
public,sentry_externalissue
public,sentry_featureadoption
public,sentry_file
public,sentry_fileblob
public,sentry_fileblobindex
public,sentry_fileblobowner
public,sentry_groupasignee
public,sentry_groupbookmark
public,sentry_groupcommitresolution
public,sentry_groupedmessage
public,sentry_groupemailthread
public,sentry_groupenvironment
public,sentry_grouphash
public,sentry_grouphashmetadata
public,sentry_grouphistory
public,sentry_groupinbox
public,sentry_grouplink
public,sentry_groupmeta
public,sentry_groupowner
public,sentry_groupredirect
public,sentry_grouprelease
public,sentry_groupresolution
public,sentry_grouprulestatus
public,sentry_groupsearchview
public,sentry_groupsearchviewlastvisited
public,sentry_groupsearchviewproject
public,sentry_groupsearchviewstarred
public,sentry_groupseen
public,sentry_groupshare
public,sentry_groupsnooze
public,sentry_groupsubscription
public,sentry_grouptombstone
public,sentry_identity
public,sentry_identityprovider
public,sentry_incident
public,sentry_incidentactivity
public,sentry_incidentproject
public,sentry_incidentsnapshot
public,sentry_incidenttrigger
public,sentry_integration
public,sentry_integrationexternalproject
public,sentry_integrationfeature
public,sentry_latestrelease
public,sentry_lostpasswordhash
public,sentry_monitor
public,sentry_monitorcheckin
public,sentry_monitorenvbrokendetection
public,sentry_monitorenvironment
public,sentry_monitorincident
public,sentry_monitorlocation
public,sentry_neglectedrule
public,sentry_notificationaction
public,sentry_notificationactionproject
public,sentry_notificationmessage
public,sentry_notificationsettingoption
public,sentry_notificationsettingprovider
public,sentry_option
public,sentry_organization
public,sentry_organizationaccessrequest
public,sentry_organizationavatar
public,sentry_organizationintegration
public,sentry_organizationmapping
public,sentry_organizationmember
public,sentry_organizationmember_teams
public,sentry_organizationmember_teamsreplica
public,sentry_organizationmemberinvite
public,sentry_organizationmembermapping
public,sentry_organizationonboardingtask
public,sentry_organizationoptions
public,sentry_organizationslugreservation
